	Words	Scores
0	precedence	0.9453037390971251
1	bind	0.7089778043228439
2	fragments	0.6617126173679876
3	virtually	0.5838640741482244
4	converted	0.5514271811399897
5	tag	0.5337121812124952
6	demand	0.5224046979220954
7	proper	0.5133977203717145
8	typename	0.5123636939639954
9	during	0.5023173470235249
10	instead	0.029858024123775955
11	constants	0.45116769365999154
12	constant	0.44944183681052224
13	convention	0.44114174491199176
14	dereference	0.4315517069791223
15	state	0.4269697449699962
16	html	0.41357038585499223
17	complexity.	0.3817572792507621
18	interesting	0.3544889021614219
19	system.out.printlnwidth	0.3308563086839938
20	ignored	0.3201835245328972
21	native	0.3167773168251004
22	group	0.3101777893912442
23	section	0.30497838926428295
24	validthere	0.30077846243999434
25	creation	0.2919320370741122
26	body	0.2863179594380716
27	prints	0.2846464966466641
28	else	0.28359112172913753
29	running	0.27571359056999484
30	shows	0.2664987821787446
31	forms	0.2612023489610477
32	on	0.238263267353068
33	order	0.23632593477428127
34	language	0.23237873006446486
35	portable	0.2307451786541946
36	element	0.2273077847995175
37	revisited	0.22558384682999577
38	continue	0.029858024123775955
39	still	0.21577585348956116
40	expressions	0.20338064955746302
41	once	0.1940771568045437
42	free	0.19087863962538104
43	sockets	0.18563901955217224
44	tmethod	0.17113257345723817
45	window	0.16743911567450828
46	incorrect	0.1654281543419969
47	collector	0.16100968089965823
48	named	0.1600917622664486
49	deallocating	0.1459660185370561
50	used	0.14580029207938291
51	same	0.018603213547313716
52	interface	0.13785679528499742
53	containing	0.13773217579677294
54	heap	0.12897718145483875
55	there	0.127733938183572
56	compilation	0.12465265618038056
57	address	0.12407111575649768
58	false	0.11028543622799794
59	can	0.10687288989423069
60	applies	0.10559243894170015
61	generic	0.09925689260519814
62	how	0.08862222554035548
63	true	0.027022603787355225
64	has	0.07772573810489505
65	in	0.0760422578284933
66	allocates	0.07431216041522688
67	list	0.06892839764249871
68	similar	0.06448859072741937
69	method	0.0603807153839223
70	your	0.059364872090984316
71	standard	0.029858024123775955
72	you	0.05505300520298798
73	is	0.05205302348148331
74	example	0.04605495271919428
75	create	0.04518198359470858
76	elements	0.040891347530071925
77	errors	0.03470520720461474
78	programming	0.029858024123775955
79	automatic	0.027022603787355225
80	executed	0.02501084104293718
81	note	0.023450396628152497
82	allocate	0.02217542070651645
83	would	0.02109744392450765
84	contrast	0.020445673765035963
85	collection	0.0201636579620984
86	following	0.019340000370095718
87	garbage	0.018603213547313716
88	program	0.01793670879343732
89	it	0.017328237625677673
90	memory	0.016768498411177418
91	int	0.01625026084366887
92	object	0.01576779321089299
93	this	0.01489252647694889
94	new	0.01449281728925694
95	by	0.014114724832821446
96	an	0.01308952571259854
97	be	0.012481054544838893
98	not	0.011921315330338638
99	that	0.011657396952836211
100	for	0.009454032990319461
101	are	0.008567657426409364
102	and	0.0077810981017471924
103	java	0.006310500837157259
104	to	0.006190959345134181
105	the	0.003804223933309856
